name,race_id,image,background,height,weight,armour_class,FOR,DES,COS,INT,SAG,CAR
"Arannis Thundertop",1,https://th.bing.com/th/id/OIG.15eilAtlRkVosxAZA9SD,"Arannis è un valoroso paladino proveniente da una famiglia nobile. Ha dedicato la sua vita alla protezione dei deboli e all'eliminazione del male. Ha deciso di intraprendere un'avventura in cerca di antiche reliquie per proteggere la sua terra da una minaccia imminente.",190,133,Pesante,18,12,16,10,14,16
"Selene Moonglow",2,https://th.bing.com/th/id/OIG.zG0GkxLwxmNC78F_.7lh,"Selene è una maga elfa che discende da una famiglia di potenti stregoni. Sin da giovane, ha mostrato un talento innato per la magia arcana e ha deciso di perfezionare le sue abilità. Si è unita a un gruppo di avventurieri per esplorare antichi dungeon e scoprire antichi segreti magici.",170,60,Leggera,8,14,10,18,16,12
"Grommash Stonehide",5,https://th.bing.com/th/id/OIG.FwQ8kaKFp9dmSJbf0qLo,"Grommash è un barbaro mezzorco che ha vissuto gran parte della sua vita in uno stato di guerra. In gioventù, ha combattuto in numerose battaglie e ha acquisito una forza straordinaria. Ora cerca di riscattare se stesso dalle sue azioni passate, andando in cerca di pericoli e avventure per dimostrare il suo valore.",200,120,Media,20,12,18,10,8,14
"Elysia Dawnbringer",2,https://th.bing.com/th/id/OIG.TItVP1X2qjQbamAHUYiK,"Elysia è una giovane sacerdotessa elfa cresciuta in un tempio dedicato al dio del sole. Ha ricevuto un addestramento rigoroso per diventare custode della luce e combattere le forze delle tenebre. Ora viaggia per il mondo in cerca di angeli caduti e creature oscure da sconfiggere.",175,55,Leggera,10,14,12,16,20,14
"Ragnar Steelheart",1,https://th.bing.com/th/id/OIG.iJ2X.kHJjXNPmfbZ7HKG,"Ragnar è un paladino umano proveniente da un'antica stirpe di guerrieri. Ha giurato di proteggere la sua terra natale da ogni minaccia e di affrontare ogni ingiustizia. Il suo cammino lo ha portato a viaggiare per terre lontane alla ricerca di avventure per dimostrare il suo valore e la sua abilità con la spada.",185,90,Pesante,18,14,16,12,14,16
"Sienna Shadowdancer",4,https://th.bing.com/th/id/OIG.VjPnmWI5fU1SloF.YSZl,"Sienna è una mezzelfa proveniente da una famiglia di assassini e spie. Alla ricerca di redenzione, ha rinunciato alle oscure arti di famiglia e ha abbracciato la via dei ladri nobili. Ora si unisce a un gruppo di avventurieri per sottrarre ricchezze agli oppressori e redistribuirle ai bisognosi.",165,55,Leggera,10,20,12,16,14,16
"Dorian Frostbeard",3,https://th.bing.com/th/id/OIG.3GeOcbsBEJNBQ1vnFwgd,"Dorian è un nano guerriero proveniente da una lunga stirpe di minatori. Ha deciso di lasciare la sua comunità per scoprire il mondo esterno e affrontare le sfide che altrimenti non avrebbe mai incontrato nelle profonde miniere di casa sua.",140,80,Pesante,20,12,18,12,10,8
"Calista Stormrider",1,https://th.bing.com/th/id/OIG.CfPHbm2CaPtdDQHNi4lI,"Calista è una cacciatrice umana cresciuta in una tribù di guerrieri degli animali. Ha un legame profondo con la natura e conosce i segreti del mondo selvaggio. Il suo scopo è proteggere l'equilibrio tra creature e umani, sfidando coloro che minacciano la vita e la libertà delle bestie.",185,70,Leggera,12,18,14,12,16,14
"Malachi Shadowsong",2,https://th.bing.com/th/id/OIG.2Eei_RKigCRL3y2jr47C,"Malachi è un guardiano degli incantesimi elfici, nato con un raro talento per la magia delle ombre. Ha passato gran parte della sua vita ad affinare le sue abilità arcane in isolamento, ma adesso è giunto il momento di mettere al servizio del bene le sue arti oscure.",180,70,Leggera,10,20,12,20,14,12
"Varis Sunblade",1,https://th.bing.com/th/id/OIG.tftygp6xOIKJHN.wSH8A,"Varis è un guerriero aasimar dotato di poteri divini. È stato inviato sulla Terra per combattere le forze malvagie che minacciano l'equilibrio tra il bene e il male. Guidato dalla sua connessione con il regno celeste, si unisce a un gruppo di avventurieri per affrontare il male e ristabilire l'ordine.",190,80,Pesante,18,15,16,12,16,16
"Erevan Sombragrave",2,https://th.bing.com/th/id/OIG._myBoxA1AsLtTm.qFzxo,"Erevan è un elfo proveniente da una famiglia di immigrati che lasciò il suo mondo natale per cercare fortuna nella terra perduta di Faerûn. Cresciuto in una grande città, Erevan ha sempre desiderato avventura e folle coraggio, motivo per cui ha deciso di abbandonare la vita da mercante di famiglia per seguire la strada dell'avventuriero. Con una spada affilata e un sorriso affascinante, Erevan ha imparato a destreggiarsi tra i pericoli del mondo, diventando un membro rispettato di un gruppo di avventurieri in cerca di fama e tesori.",185,75,Media,14,18,12,13,12,16
